"","Member_number","Date","itemDescription"
"16770",4205,2015-02-22,"herbs"
"16771",1862,2015-08-03,"beer"
"16772",1846,2015-07-19,"oil"
"16773",2019,2015-05-28,"waffles"
"16774",2042,2015-11-19,"pork"
"16775",1768,2015-05-26,"pickled vegetables"
"16776",3847,2015-03-26,"candy"
"16777",3557,2015-07-20,"chocolate marshmallow"
"16778",3975,2015-02-27,"tropical fruit"
"16779",4198,2015-03-18,"yogurt"
"16780",2580,2015-09-04,"yogurt"
"16781",3474,2015-08-25,"frozen potato products"
"16782",1678,2015-11-14,"canned beer"
"16783",4254,2015-08-14,"ham"
"16784",4704,2015-08-21,"butter"
"16785",3343,2015-05-10,"specialty bar"
"16786",3812,2015-06-24,"berries"
"16787",3093,2015-03-13,"yogurt"
"16788",2170,2015-06-18,"ham"
"16789",4867,2015-10-29,"beef"
"16790",3899,2015-03-23,"tropical fruit"
"16791",2941,2015-10-03,"beer"
"16792",1958,2015-07-03,"liquor"
"16793",2760,2015-08-08,"tropical fruit"
"16794",4413,2015-08-03,"beverages"
"16795",1737,2015-05-15,"citrus fruit"
"16796",4202,2015-02-18,"meat"
"16797",1065,2015-11-13,"tropical fruit"
"16798",3819,2015-06-28,"fruit/vegetable juice"
"16799",2854,2015-02-08,"candy"
"16800",4387,2015-09-16,"rolls/buns"
"16801",4530,2015-04-12,"fruit/vegetable juice"
"16802",4191,2015-11-03,"whipped/sour cream"
"16803",3102,2015-12-04,"beer"
"16804",1946,2015-01-25,"whole milk"
"16805",2156,2015-05-15,"whole milk"
"16806",1444,2015-12-16,"beer"
"16807",1699,2015-05-14,"pip fruit"
"16808",4954,2015-05-04,"grapes"
"16809",2207,2015-04-08,"cream cheese "
"16810",4826,2015-01-28,"tropical fruit"
"16811",2374,2015-06-08,"tropical fruit"
"16812",1604,2015-08-18,"margarine"
"16813",4437,2015-11-29,"frozen fish"
"16814",2319,2015-05-10,"yogurt"
"16815",3018,2015-06-27,"root vegetables"
"16816",1195,2015-09-28,"soft cheese"
"16817",1768,2015-09-04,"root vegetables"
"16818",3017,2015-09-28,"tropical fruit"
"16819",3384,2015-11-29,"frozen vegetables"
"16820",1918,2015-01-30,"meat"
"16821",2524,2015-10-17,"citrus fruit"
"16822",2798,2015-06-17,"bottled beer"
"16823",2096,2015-01-25,"soda"
"16824",1489,2015-03-13,"whole milk"
"16825",1431,2015-07-20,"domestic eggs"
"16826",2747,2015-07-05,"butter"
"16827",3054,2015-03-22,"salt"
"16828",2691,2015-10-09,"tropical fruit"
"16829",1752,2015-04-19,"butter milk"
"16830",3027,2015-09-15,"red/blush wine"
"16831",4452,2015-06-17,"pork"
"16832",4129,2015-08-13,"cereals"
"16833",3523,2015-11-09,"beer"
"16834",2128,2015-02-11,"chocolate marshmallow"
"16835",4867,2015-02-03,"whole milk"
"16836",4762,2015-10-30,"pork"
"16837",1632,2015-05-29,"whole milk"
"16838",4018,2015-11-17,"yogurt"
"16839",1722,2015-07-13,"whole milk"
"16840",1438,2015-10-19,"whole milk"
"16841",3958,2015-10-27,"brown bread"
"16842",3292,2015-09-13,"pork"
"16843",2861,2015-02-23,"tropical fruit"
"16844",1757,2015-02-24,"salty snack"
"16845",1509,2015-12-30,"liquor (appetizer)"
"16846",2364,2015-05-11,"white bread"
"16847",3084,2015-10-26,"canned beer"
"16848",1850,2015-02-17,"soda"
"16849",1949,2015-03-17,"tropical fruit"
"16850",4740,2015-10-02,"UHT-milk"
"16851",1072,2015-10-23,"canned beer"
"16852",4196,2015-07-09,"beer"
"16853",4814,2015-09-13,"whole milk"
"16854",1514,2015-02-28,"whole milk"
"16855",4584,2015-10-25,"yogurt"
"16856",2751,2015-02-03,"brown bread"
"16857",4155,2015-09-24,"pork"
"16858",4670,2015-10-11,"whole milk"
"16859",4566,2015-07-27,"pastry"
"16860",2371,2015-08-30,"frozen fish"
"16861",3442,2015-11-14,"pip fruit"
"16862",3090,2015-09-27,"root vegetables"
"16863",1457,2015-01-09,"butter milk"
"16864",4952,2015-04-08,"whole milk"
"16865",3165,2015-01-11,"tropical fruit"
"16866",2608,2015-09-19,"beer"
"16867",2040,2015-10-07,"sugar"
"16868",1327,2015-08-09,"curd"
"16869",3363,2015-01-07,"herbs"
"16870",1731,2015-09-09,"tropical fruit"
"16871",2760,2015-08-02,"beer"
"16872",3120,2015-01-14,"white bread"
"16873",1332,2015-04-30,"whole milk"
"16874",4530,2015-09-12,"domestic eggs"
"16875",3145,2015-02-23,"citrus fruit"
"16876",1099,2015-08-13,"pork"
"16877",3188,2015-12-06,"beer"
"16878",3748,2015-10-13,"canned beer"
"16879",4655,2015-03-31,"whole milk"
"16880",1827,2015-05-01,"whole milk"
"16881",2485,2015-02-17,"pork"
"16882",4683,2015-01-15,"tropical fruit"
"16883",4358,2015-11-06,"pasta"
"16884",1931,2015-10-09,"beer"
"16885",2490,2015-12-18,"pip fruit"
"16886",4842,2015-12-08,"yogurt"
"16887",4616,2015-01-01,"hamburger meat"
"16888",2810,2015-09-22,"citrus fruit"
"16889",2785,2015-10-18,"pork"
"16890",3591,2015-07-20,"newspapers"
"16891",3896,2015-09-10,"dessert"
"16892",3842,2015-07-01,"bottled water"
"16893",2648,2015-07-10,"root vegetables"
"16894",4688,2015-10-02,"dessert"
"16895",3511,2015-08-26,"bottled water"
"16896",3084,2015-09-04,"whole milk"
"16897",3810,2015-05-07,"beer"
"16898",4348,2015-02-26,"beverages"
"16899",3584,2015-03-10,"photo/film"
"16900",2620,2015-06-11,"pork"
"16901",2716,2015-01-18,"beef"
"16902",3797,2015-08-10,"beer"
"16903",2976,2015-06-02,"citrus fruit"
"16904",2762,2015-11-07,"whole milk"
"16905",3752,2015-04-25,"root vegetables"
"16906",1659,2015-11-30,"whole milk"
"16907",4109,2015-02-08,"whipped/sour cream"
"16908",1542,2015-08-07,"whole milk"
"16909",2068,2015-06-07,"whole milk"
"16910",4509,2015-06-14,"whole milk"
"16911",4646,2015-06-14,"hamburger meat"
"16912",2122,2015-04-07,"tropical fruit"
"16913",2730,2015-06-15,"abrasive cleaner"
"16914",1800,2015-07-31,"rolls/buns"
"16915",1456,2015-09-18,"whole milk"
"16916",1138,2015-09-02,"root vegetables"
"16917",4104,2015-06-12,"beer"
"16918",4985,2015-02-28,"pickled vegetables"
"16919",3181,2015-12-13,"chicken"
"16920",3178,2015-10-21,"beer"
"16921",1688,2015-11-10,"root vegetables"
"16922",1488,2015-11-28,"curd"
"16923",4975,2015-05-08,"yogurt"
"16924",4697,2015-01-09,"whole milk"
"16925",4742,2015-01-11,"meat"
"16926",2640,2015-04-22,"beer"
"16927",2548,2015-12-25,"citrus fruit"
"16928",2825,2015-12-29,"root vegetables"
"16929",2592,2015-07-04,"onions"
"16930",3622,2015-12-28,"bottled beer"
"16931",4852,2015-08-21,"pip fruit"
"16932",1839,2015-09-03,"herbs"
"16933",2413,2015-04-04,"beer"
"16934",2982,2015-06-14,"soda"
"16935",1981,2015-10-31,"specialty chocolate"
"16936",4440,2015-09-21,"fruit/vegetable juice"
"16937",3497,2015-11-24,"pork"
"16938",3668,2015-12-18,"root vegetables"
"16939",4460,2015-05-28,"red/blush wine"
"16940",1335,2015-01-16,"coffee"
"16941",4303,2015-12-07,"white bread"
"16942",3508,2015-02-28,"citrus fruit"
"16943",1959,2015-03-19,"beer"
"16944",3856,2015-03-06,"long life bakery product"
"16945",3141,2015-07-29,"whole milk"
"16946",4640,2015-09-25,"pip fruit"
"16947",4851,2015-05-25,"herbs"
"16948",3306,2015-09-22,"cereal"
"16949",2193,2015-04-08,"cream cheese "
"16950",1156,2015-09-13,"beer"
"16951",4596,2015-04-08,"whole milk"
"16952",1245,2015-10-08,"rolls/buns"
"16953",1515,2015-07-05,"beer"
"16954",2564,2015-07-14,"white wine"
"16955",4527,2015-10-18,"tropical fruit"
"16956",2487,2015-07-09,"beer"
"16957",3420,2015-02-27,"root vegetables"
"16958",4442,2015-11-28,"whipped/sour cream"
"16959",3164,2015-04-30,"pork"
"16960",3601,2015-04-01,"meat"
"16961",3176,2015-05-25,"whole milk"
"16962",2568,2015-07-22,"tropical fruit"
"16963",1856,2015-10-26,"tropical fruit"
"16964",3859,2015-09-30,"nuts/prunes"
"16965",1668,2015-08-21,"female sanitary products"
"16966",4499,2015-08-23,"beer"
"16967",1753,2015-08-21,"pickled vegetables"
"16968",3829,2015-06-25,"tropical fruit"
"16969",4825,2015-01-08,"root vegetables"
"16970",3694,2015-11-10,"beer"
"16971",4147,2015-01-02,"bottled beer"
"16972",2196,2015-10-09,"house keeping products"
"16973",2229,2015-05-22,"rolls/buns"
"16974",4724,2015-09-03,"hamburger meat"
"16975",3066,2015-10-11,"beer"
"16976",1120,2015-06-08,"beer"
"16977",4769,2015-08-22,"meat"
"16978",4711,2015-09-17,"napkins"
"16979",2391,2015-06-22,"hamburger meat"
"16980",1216,2015-03-04,"onions"
"16981",3154,2015-05-14,"grapes"
"16982",3911,2015-07-30,"dessert"
"16983",3111,2015-10-15,"whole milk"
"16984",1385,2015-11-26,"frozen vegetables"
"16985",1158,2015-03-21,"citrus fruit"
"16986",2733,2015-07-22,"yogurt"
"16987",4999,2015-12-26,"herbs"
"16988",2882,2015-06-12,"beer"
"16989",2590,2015-06-25,"dog food"
"16990",4249,2015-08-04,"bottled water"
"16991",3012,2015-05-03,"onions"
"16992",1533,2015-11-07,"beer"
"16993",1667,2015-01-12,"onions"
"16994",4323,2015-05-13,"beef"
"16995",2087,2015-02-22,"citrus fruit"
"16996",1853,2015-05-31,"ice cream"
"16997",2157,2015-10-29,"meat"
"16998",1136,2015-10-29,"beef"
"16999",2049,2015-10-07,"whole milk"
"17000",3122,2015-05-02,"chicken"
"17001",2245,2015-05-15,"whole milk"
"17002",4746,2015-10-18,"ham"
"17003",4224,2015-02-24,"tropical fruit"
"17004",4219,2015-03-19,"beer"
"17005",2641,2015-01-01,"beer"
"17006",3173,2015-07-25,"root vegetables"
"17007",2191,2015-10-19,"root vegetables"
"17008",4212,2015-04-07,"whipped/sour cream"
"17009",1902,2015-12-01,"butter"
"17010",1347,2015-03-27,"pip fruit"
"17011",1578,2015-06-23,"bottled beer"
"17012",1264,2015-11-23,"curd"
"17013",4632,2015-09-30,"canned beer"
"17014",3452,2015-11-01,"beer"
"17015",4822,2015-02-10,"whole milk"
"17016",3987,2015-06-18,"pip fruit"
"17017",1672,2015-10-07,"yogurt"
"17018",4864,2015-12-01,"oil"
"17019",3368,2015-03-09,"domestic eggs"
"17020",1283,2015-09-22,"chicken"
"17021",4428,2015-06-28,"sugar"
"17022",2577,2015-10-25,"dessert"
"17023",1973,2015-10-24,"specialty chocolate"
"17024",3284,2015-01-23,"newspapers"
"17025",1905,2015-05-19,"beer"
"17026",2226,2015-03-09,"whole milk"
"17027",1932,2015-09-04,"zwieback"
"17028",4506,2015-08-11,"bottled water"
"17029",1843,2015-11-27,"root vegetables"
"17030",3973,2015-07-27,"coffee"
"17031",1651,2015-07-28,"chicken"
"17032",3997,2015-10-12,"bottled beer"
"17033",4796,2015-08-25,"beer"
"17034",1245,2015-09-24,"beer"
"17035",3579,2015-08-17,"beer"
"17036",4387,2015-02-10,"baking powder"
"17037",2496,2015-06-29,"shopping bags"
"17038",3590,2015-03-28,"beer"
"17039",2890,2015-04-26,"newspapers"
"17040",1401,2015-01-27,"soda"
"17041",3297,2015-05-21,"meat"
"17042",2867,2015-12-23,"bottled water"
"17043",1365,2015-05-20,"beer"
"17044",2355,2015-07-24,"bottled beer"
"17045",1170,2015-03-19,"sparkling wine"
"17046",3554,2015-03-21,"meat"
"17047",4171,2015-01-26,"newspapers"
"17048",3963,2015-09-17,"pork"
"17049",3076,2015-12-08,"butter milk"
"17050",1629,2015-05-17,"ham"
"17051",1366,2015-05-30,"waffles"
"17052",3677,2015-07-29,"rolls/buns"
"17053",2844,2015-05-21,"whipped/sour cream"
"17054",4509,2015-09-28,"soda"
"17055",3245,2015-05-11,"chocolate"
"17056",2294,2015-06-22,"tropical fruit"
"17057",1234,2015-11-20,"root vegetables"
"17058",3001,2015-12-24,"chicken"
"17059",3587,2015-08-05,"pastry"
"17060",2700,2015-01-22,"tropical fruit"
"17061",3838,2015-12-14,"red/blush wine"
"17062",4045,2015-12-22,"whole milk"
"17063",1858,2015-04-25,"yogurt"
"17064",2280,2015-01-11,"organic products"
"17065",2454,2015-04-06,"rolls/buns"
"17066",4437,2015-10-09,"hard cheese"
"17067",1685,2015-03-30,"pickled vegetables"
"17068",2349,2015-02-26,"whole milk"
"17069",1463,2015-12-24,"root vegetables"
"17070",3470,2015-02-19,"zwieback"
"17071",4914,2015-11-29,"whole milk"
"17072",2448,2015-08-31,"rolls/buns"
"17073",3387,2015-05-10,"whole milk"
"17074",3167,2015-11-04,"hygiene articles"
"17075",3175,2015-03-17,"curd"
"17076",2678,2015-09-21,"rolls/buns"
"17077",4627,2015-12-18,"curd"
"17078",1773,2015-10-17,"pip fruit"
"17079",3100,2015-05-23,"rolls/buns"
"17080",3232,2015-05-29,"beer"
"17081",3673,2015-08-12,"butter milk"
"17082",4068,2015-11-19,"tropical fruit"
"17083",2340,2015-10-07,"beef"
"17084",1930,2015-03-01,"soda"
"17085",3526,2015-06-02,"coffee"
"17086",1617,2015-02-10,"dessert"
"17087",1028,2015-07-11,"root vegetables"
"17088",4440,2015-12-01,"root vegetables"
"17089",3554,2015-07-23,"root vegetables"
"17090",1632,2015-12-15,"rolls/buns"
"17091",1429,2015-02-07,"pip fruit"
"17092",1225,2015-05-20,"brown bread"
"17093",2509,2015-07-15,"rolls/buns"
"17094",4945,2015-08-02,"butter"
"17095",4342,2015-03-18,"rolls/buns"
"17096",1832,2015-09-28,"candles"
"17097",1518,2015-06-21,"yogurt"
"17098",1512,2015-09-20,"domestic eggs"
"17099",4818,2015-03-20,"pastry"
"17100",4686,2015-08-19,"whole milk"
"17101",4986,2015-02-01,"beer"
"17102",2755,2015-02-06,"fruit/vegetable juice"
"17103",4532,2015-11-29,"chicken"
"17104",2070,2015-08-16,"pip fruit"
"17105",1894,2015-05-09,"soda"
"17106",3473,2015-01-25,"whole milk"
"17107",2140,2015-09-28,"root vegetables"
"17108",3286,2015-12-23,"yogurt"
"17109",4729,2015-04-08,"frozen vegetables"
"17110",3204,2015-02-20,"oil"
"17111",1574,2015-04-18,"whipped/sour cream"
"17112",3361,2015-07-22,"beef"
"17113",1776,2015-02-25,"UHT-milk"
"17114",2009,2015-10-11,"soda"
"17115",3479,2015-03-24,"soda"
"17116",2394,2015-11-22,"whole milk"
"17117",1337,2015-12-25,"bottled water"
"17118",3574,2015-06-13,"domestic eggs"
"17119",1727,2015-07-18,"beef"
"17120",1016,2015-10-05,"bottled beer"
"17121",4326,2015-01-21,"whole milk"
"17122",2212,2015-09-22,"beer"
"17123",1990,2015-08-01,"tropical fruit"
"17124",3836,2015-12-06,"beer"
"17125",4560,2015-07-01,"beer"
"17126",1119,2015-02-04,"whole milk"
"17127",1379,2015-05-18,"dishes"
"17128",1658,2015-09-03,"dish cleaner"
"17129",2948,2015-06-16,"yogurt"
"17130",1273,2015-05-04,"whole milk"
"17131",1155,2015-12-27,"brandy"
"17132",1672,2015-02-05,"brandy"
"17133",3841,2015-04-02,"yogurt"
"17134",1683,2015-08-20,"pip fruit"
"17135",1774,2015-08-07,"beer"
"17136",4441,2015-06-17,"dishes"
"17137",1929,2015-05-02,"soda"
"17138",1273,2015-01-31,"pastry"
"17139",2920,2015-10-11,"beef"
"17140",2467,2015-04-18,"yogurt"
"17141",2678,2015-11-28,"dessert"
"17142",3423,2015-06-02,"flower (seeds)"
"17143",4223,2015-07-19,"bottled water"
"17144",2846,2015-09-23,"liquor"
"17145",4103,2015-07-26,"whole milk"
"17146",4789,2015-05-02,"curd"
"17147",4916,2015-02-26,"beer"
"17148",2518,2015-05-03,"beer"
"17149",2622,2015-03-07,"pip fruit"
"17150",4321,2015-01-29,"chocolate"
"17151",2050,2015-06-28,"beer"
"17152",2146,2015-06-20,"newspapers"
"17153",3938,2015-05-26,"ham"
"17154",1636,2015-09-19,"bottled beer"
"17155",4694,2015-07-29,"whole milk"
"17156",2432,2015-07-07,"frozen fish"
"17157",4937,2015-05-18,"cereal"
"17158",1293,2015-03-01,"light bulbs"
"17159",2883,2015-02-17,"butter"
"17160",2267,2015-01-30,"frozen vegetables"
"17161",3997,2015-06-09,"herbs"
"17162",4792,2015-07-20,"UHT-milk"
"17163",2292,2015-03-25,"root vegetables"
"17164",1018,2015-05-23,"root vegetables"
"17165",4922,2015-02-13,"ice cream"
"17166",3151,2015-09-25,"dessert"
"17167",2517,2015-07-04,"UHT-milk"
"17168",1499,2015-05-17,"whole milk"
"17169",4993,2015-01-21,"brown bread"
"17170",1606,2015-11-11,"beer"
"17171",2918,2015-08-10,"ham"
"17172",1815,2015-01-13,"bottled water"
"17173",4524,2015-07-05,"butter"
"17174",1395,2015-06-11,"soda"
"17175",3456,2015-06-16,"whole milk"
"17176",1597,2015-02-05,"whole milk"
"17177",2315,2015-05-02,"beer"
"17178",4095,2015-09-29,"ham"
"17179",3680,2015-11-24,"whole milk"
"17180",2847,2015-11-23,"white bread"
"17181",3426,2015-10-25,"yogurt"
"17182",4750,2015-08-04,"whipped/sour cream"
"17183",1384,2015-08-09,"specialty chocolate"
"17184",3120,2015-08-09,"yogurt"
"17185",1081,2015-04-25,"butter milk"
"17186",1171,2015-05-05,"onions"
"17187",4932,2015-07-08,"fruit/vegetable juice"
"17188",4189,2015-09-11,"whole milk"
"17189",4455,2015-09-09,"soda"
"17190",2928,2015-02-11,"root vegetables"
"17191",4817,2015-03-18,"whole milk"
"17192",4257,2015-06-28,"herbs"
"17193",4254,2015-07-20,"white wine"
"17194",4071,2015-09-19,"soda"
"17195",2109,2015-10-28,"tropical fruit"
"17196",1412,2015-07-05,"margarine"
"17197",4088,2015-09-23,"whole milk"
"17198",4056,2015-10-20,"root vegetables"
"17199",4441,2015-05-05,"soda"
"17200",4363,2015-07-01,"soda"
"17201",2107,2015-11-27,"bottled water"
"17202",2941,2015-02-23,"brown bread"
"17203",1497,2015-07-26,"butter milk"
"17204",2211,2015-01-01,"pastry"
"17205",3510,2015-01-02,"whole milk"
"17206",4074,2015-05-27,"cream cheese "
"17207",3190,2015-11-21,"liquor"
"17208",2297,2015-03-01,"shopping bags"
"17209",3311,2015-07-01,"specialty cheese"
"17210",3085,2015-01-21,"grapes"
"17211",3693,2015-11-16,"root vegetables"
"17212",4859,2015-07-07,"beer"
"17213",2125,2015-06-25,"frozen meals"
"17214",2261,2015-04-04,"root vegetables"
"17215",3679,2015-11-27,"grapes"
"17216",4165,2015-08-18,"citrus fruit"
"17217",3538,2015-03-01,"beer"
"17218",3913,2015-02-19,"beer"
"17219",2336,2015-04-14,"beer"
"17220",3549,2015-08-01,"misc. beverages"
"17221",4434,2015-09-21,"mayonnaise"
"17222",2854,2015-02-08,"whole milk"
"17223",3413,2015-02-08,"cereal"
"17224",1780,2015-10-13,"canned fish"
"17225",2899,2015-09-06,"pastry"
"17226",2106,2015-08-13,"beer"
"17227",3929,2015-07-30,"yogurt"
"17228",3857,2015-10-01,"tropical fruit"
"17229",4459,2015-12-18,"beverages"
"17230",4551,2015-07-28,"artif. sweetener"
"17231",4042,2015-12-17,"soda"
"17232",2599,2015-05-06,"curd"
"17233",1045,2015-11-25,"onions"
"17234",4677,2015-01-24,"whole milk"
"17235",1580,2015-06-14,"whole milk"
"17236",3269,2015-10-07,"whole milk"
"17237",4368,2015-01-29,"bottled water"
"17238",1111,2015-11-20,"semi-finished bread"
"17239",4841,2015-09-13,"citrus fruit"
"17240",3047,2015-09-07,"whole milk"
"17241",4349,2015-03-14,"citrus fruit"
"17242",3580,2015-11-24,"canned beer"
"17243",2370,2015-07-18,"pastry"
"17244",3094,2015-06-28,"bottled beer"
"17245",1146,2015-09-12,"margarine"
"17246",2287,2015-12-16,"tropical fruit"
"17247",3911,2015-08-23,"salt"
"17248",4891,2015-04-19,"cream cheese "
"17249",4837,2015-12-02,"bottled beer"
"17250",4464,2015-10-21,"ice cream"
"17251",2940,2015-10-18,"rolls/buns"
"17252",4972,2015-02-06,"chicken"
"17253",4890,2015-07-03,"tidbits"
"17254",4295,2015-07-17,"butter milk"
"17255",2729,2015-09-24,"beer"
"17256",1125,2015-11-19,"citrus fruit"
"17257",1850,2015-01-11,"hamburger meat"
"17258",2928,2015-09-22,"frozen meals"
"17259",3717,2015-05-30,"frozen vegetables"
"17260",3809,2015-03-24,"ham"
"17261",3437,2015-02-02,"berries"
"17262",1481,2015-01-17,"pip fruit"
"17263",1050,2015-05-04,"whole milk"
"17264",2918,2015-03-16,"pork"
"17265",4499,2015-08-08,"tropical fruit"
"17266",4117,2015-01-06,"bottled beer"
"17267",1630,2015-05-22,"tropical fruit"
"17268",3715,2015-05-11,"whole milk"
"17269",3512,2015-11-17,"rolls/buns"
"17270",1197,2015-04-27,"yogurt"
"17271",3958,2015-03-04,"rolls/buns"
"17272",4890,2015-09-14,"condensed milk"
"17273",3112,2015-05-19,"nuts/prunes"
"17274",4502,2015-11-22,"soda"
"17275",4719,2015-06-01,"pip fruit"
"17276",1516,2015-01-28,"oil"
"17277",4281,2015-10-18,"soda"
"17278",1566,2015-04-30,"ketchup"
"17279",4641,2015-11-29,"beer"
"17280",2561,2015-02-26,"whipped/sour cream"
"17281",2344,2015-12-17,"yogurt"
"17282",2643,2015-04-21,"whole milk"
"17283",3236,2015-04-09,"rolls/buns"
"17284",4863,2015-12-30,"curd"
"17285",2264,2015-01-12,"tropical fruit"
"17286",3168,2015-03-20,"coffee"
"17287",1282,2015-11-18,"yogurt"
"17288",2832,2015-11-02,"frozen vegetables"
"17289",3067,2015-11-27,"frozen meals"
"17290",1847,2015-04-17,"rolls/buns"
"17291",3525,2015-02-14,"frozen vegetables"
"17292",1231,2015-10-14,"root vegetables"
"17293",3471,2015-03-28,"vinegar"
"17294",2421,2015-11-22,"whole milk"
"17295",4092,2015-06-14,"candy"
"17296",1577,2015-03-16,"cream cheese "
"17297",3463,2015-06-13,"bottled water"
"17298",3518,2015-08-01,"brown bread"
"17299",4325,2015-10-14,"beef"
"17300",4947,2015-11-18,"chicken"
"17301",2194,2015-01-11,"pip fruit"
"17302",2868,2015-03-20,"hamburger meat"
"17303",3211,2015-09-30,"whole milk"
"17304",4537,2015-01-01,"brown bread"
"17305",2243,2015-09-15,"rolls/buns"
"17306",2399,2015-01-21,"margarine"
"17307",4133,2015-01-22,"yogurt"
"17308",2937,2015-06-17,"chewing gum"
"17309",1029,2015-03-14,"ham"
"17310",4384,2015-09-22,"canned fish"
"17311",3756,2015-07-22,"bottled water"
"17312",1646,2015-06-19,"ham"
"17313",3066,2015-11-30,"root vegetables"
"17314",1259,2015-11-27,"root vegetables"
"17315",2245,2015-01-28,"shopping bags"
"17316",3289,2015-03-01,"soft cheese"
"17317",3742,2015-08-22,"hamburger meat"
"17318",4537,2015-04-09,"grapes"
"17319",4531,2015-09-29,"meat"
"17320",3764,2015-10-05,"pork"
"17321",1581,2015-08-13,"onions"
"17322",2859,2015-02-11,"herbs"
"17323",2175,2015-03-06,"sliced cheese"
"17324",1301,2015-11-03,"pip fruit"
"17325",3465,2015-11-01,"soda"
"17326",2203,2015-06-27,"onions"
"17327",2113,2015-08-16,"pork"
"17328",3072,2015-01-26,"citrus fruit"
"17329",2805,2015-08-17,"canned beer"
"17330",2511,2015-07-14,"cat food"
"17331",2120,2015-01-26,"whole milk"
"17332",2346,2015-04-24,"specialty cheese"
"17333",2071,2015-10-14,"whole milk"
"17334",2610,2015-02-26,"shopping bags"
"17335",3489,2015-11-18,"beer"
"17336",3458,2015-08-13,"whole milk"
"17337",4869,2015-02-06,"hygiene articles"
"17338",2580,2015-04-11,"chicken"
"17339",3305,2015-06-24,"chocolate"
"17340",3811,2015-06-24,"beer"
"17341",1782,2015-08-16,"yogurt"
"17342",3050,2015-04-07,"whole milk"
"17343",4924,2015-09-14,"butter"
"17344",1480,2015-11-21,"soda"
"17345",3508,2015-08-15,"hygiene articles"
"17346",2545,2015-11-18,"frozen dessert"
"17347",3638,2015-06-06,"pip fruit"
"17348",3971,2015-12-30,"bottled beer"
"17349",4536,2015-04-06,"pip fruit"
"17350",2707,2015-06-12,"yogurt"
"17351",1382,2015-09-29,"packaged fruit/vegetables"
"17352",4648,2015-09-14,"instant coffee"
"17353",2699,2015-04-18,"whole milk"
"17354",3119,2015-02-05,"chicken"
"17355",4695,2015-09-09,"canned beer"
"17356",4778,2015-08-24,"coffee"
"17357",3451,2015-04-26,"whole milk"
"17358",2221,2015-12-16,"shopping bags"
"17359",4217,2015-11-23,"liquor"
"17360",1334,2015-06-07,"onions"
"17361",2499,2015-11-22,"frozen meals"
"17362",3585,2015-07-21,"beer"
"17363",3161,2015-11-08,"beer"
"17364",2434,2015-06-06,"pastry"
"17365",4448,2015-01-06,"tropical fruit"
"17366",4597,2015-07-13,"seasonal products"
"17367",4584,2015-10-09,"tropical fruit"
"17368",1606,2015-03-10,"bottled beer"
"17369",3323,2015-11-12,"cereal"
"17370",1308,2015-03-14,"root vegetables"
"17371",1331,2015-10-07,"domestic eggs"
"17372",2386,2015-01-30,"frozen dessert"
"17373",3910,2015-02-28,"photo/film"
"17374",4274,2015-08-01,"whole milk"
"17375",3101,2015-01-21,"brown bread"
"17376",4416,2015-12-23,"whole milk"
"17377",2375,2015-12-09,"butter"
"17378",1819,2015-09-09,"tropical fruit"
"17379",3981,2015-10-02,"dessert"
"17380",3553,2015-06-01,"ham"
"17381",3846,2015-01-28,"domestic eggs"
"17382",3037,2015-02-23,"ham"
"17383",3469,2015-02-09,"brown bread"
"17384",1601,2015-12-09,"root vegetables"
"17385",4040,2015-03-03,"berries"
"17386",3926,2015-06-07,"shopping bags"
"17387",4201,2015-10-14,"house keeping products"
"17388",4274,2015-09-30,"processed cheese"
"17389",2665,2015-04-13,"detergent"
"17390",3153,2015-10-08,"beer"
"17391",2691,2015-09-07,"domestic eggs"
"17392",4022,2015-07-31,"yogurt"
"17393",3716,2015-11-10,"cake bar"
"17394",4537,2015-10-12,"rolls/buns"
"17395",4875,2015-06-11,"cream cheese "
"17396",3822,2015-09-25,"ice cream"
"17397",3609,2015-12-12,"vinegar"
"17398",4428,2015-08-23,"citrus fruit"
"17399",3947,2015-04-16,"packaged fruit/vegetables"
"17400",2448,2015-08-17,"rolls/buns"
"17401",2688,2015-04-11,"canned vegetables"
"17402",3764,2015-07-24,"margarine"
"17403",4523,2015-08-24,"brown bread"
"17404",3698,2015-08-30,"yogurt"
"17405",3898,2015-08-21,"bottled beer"
"17406",1761,2015-10-02,"seasonal products"
"17407",2689,2015-01-11,"whole milk"
"17408",1627,2015-04-11,"pastry"
"17409",4629,2015-11-16,"candy"
"17410",2790,2015-12-30,"beer"
"17411",4496,2015-01-23,"bottled water"
"17412",1934,2015-02-27,"napkins"
"17413",2513,2015-02-12,"coffee"
"17414",3298,2015-01-28,"herbs"
"17415",4214,2015-03-20,"root vegetables"
"17416",2480,2015-08-14,"whole milk"
"17417",4962,2015-03-29,"yogurt"
"17418",3960,2015-06-20,"long life bakery product"
"17419",2074,2015-01-23,"chicken"
"17420",2625,2015-10-03,"rolls/buns"
"17421",1557,2015-08-04,"hamburger meat"
"17422",2007,2015-08-28,"photo/film"
"17423",2120,2015-10-07,"pip fruit"
"17424",4289,2015-09-08,"liquor (appetizer)"
"17425",2356,2015-01-31,"rolls/buns"
"17426",4301,2015-09-30,"soda"
"17427",2950,2015-02-07,"whole milk"
"17428",2263,2015-07-02,"tropical fruit"
"17429",3186,2015-11-25,"beer"
"17430",2655,2015-07-01,"rolls/buns"
"17431",1491,2015-06-18,"citrus fruit"
